,Name,Price,Model Name,Color,SIM Type,Touchscreen,Display Size,Resolution,Operating System,Processor Core,Primary Clock Speed,Internal Storage,RAM,Primary Camera Available,Primary Camera,Secondary Camera Available,Secondary Camera,Full HD Recording,Network Type,Bluetooth Support,Wi-Fi,Audio Jack,GPS Support,Battery Capacity,Weight,Domestic Warranty,Product Rating,Camera Rating,Battery Rating,Display Rating,Design Rating
153,"Infinix HOT 20 5G (Blaster Green, 64 GB)  (4 GB RAM)","₹11,499",HOT 20 5G,Blaster Green,Dual Sim,Yes,16.76 cm (6.6 inch),1080 x 2408 Pixels,Android 12,Octa Core,2.4 GHz,64 GB,4 GB,Yes,50MP + AI Lens,Yes,8MP Front Camera,No,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,204 g,1 Year,4.2,3.6,3.8,3.9,3.9
154,itel It2171  (Elegant Black),₹999,It2171,Elegant Black,Dual Sim,No,4.57 cm (1.8 inch),320 x 240$$Pixels,Android 12,Octa Core,1 MHz,32 MB,32 MB,Yes,0.3MP Rear Camera,Yes,8MP Front Camera,No,2G,Yes,Yes,3.5mm,Yes,1000 mAh,204 g,1 Year,4.1,2.9,3.7,3.6,3.9
155,LAVA A3  (WHITE BEIGE PA),"₹1,309",A3,WHITE BEIGE PA,Dual Sim,No,4.5 cm (1.77 inch),128 x 160$$Pixels,Android 12,Octa Core,1 MHz,0 GB,32 MB,Yes,0.3MP Rear Camera,Yes,0.3MP Front Camera,No,2G,Yes,No,3.5 mm,No,1750 mAh,109 g,1 Year,4.2,3.0,4.1,3.8,4.1
156,"realme 9i 5G (Rocking Black, 128 GB)  (6 GB RAM)","₹16,999",9i 5G,Rocking Black,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2.4 GHz,128 GB,6 GB,Yes,50MP + 2MP + 2MP,Yes,8MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,,3.5mm,Yes,5000 mAh,187 g,1 Year,4.3,3.9,4.1,4.1,4.2
157,"realme 9i 5G (Metallica Gold, 64 GB)  (4 GB RAM)","₹14,999",9i 5G,Metallica Gold,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2.4 GHz,64 GB,4 GB,Yes,50MP + 2MP + 2MP,Yes,8MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,,3.5mm,Yes,5000 mAh,187 g,1 Year,4.5,3.9,4.1,4.1,4.3
158,"realme 9i 5G (Soulful Blue, 64 GB)  (4 GB RAM)","₹14,999",9i 5G,Soulful Blue,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2.4 GHz,64 GB,4 GB,Yes,50MP + 2MP + 2MP,Yes,8MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,,3.5mm,Yes,5000 mAh,187 g,1 Year,4.5,3.9,4.1,4.1,4.3
159,itel MagicX Pro (4G Hotspot)  (Black),"₹2,649",MagicX Pro (4G Hotspot),Black,Dual Sim,No,6.1 cm (2.4 inch),320 x 240 Pixels,RTOS,Octa Core,1 GHz,128 MB,64 MB,Yes,0.3MP Rear Camera,Yes,8MP Front Camera,Yes,4G,Yes,Yes,3.5mm,Yes,2500 mAh,187 g,1 Year,3.9,2.5,3.9,3.6,3.9
160,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)  (4 GB RAM)","₹14,490",Galaxy F14 5G,B.A.E. Purple,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 13,Octa Core,2.4 GHz,128 GB,4 GB,Yes,50MP + 2MP,Yes,13MP Front Camera,Yes,"2G, 3G, 4G, 5G",Yes,Yes,3.5mm,Yes,6000 mAh,205 g,1 Year,4.2,3.7,4.4,3.9,3.7
161,SAMSUNG Guru Music 2  (White),"₹2,098",Guru Music 2,White,Dual Sim,No,5.08 cm (2 inch),128 x 160$$Pixels,1,Single Core,208 MHz,,4 GB,No,50MP + 2MP,No,0MP Front Camera,No,2G,Yes,No,3.5,No,800 mAh,74.98 g,0,4.3,2.9,4.1,3.9,4.0
162,"POCO M4 Pro (Power Black, 128 GB)  (6 GB RAM)","₹12,999",M4 Pro,Power Black,Dual Sim,Yes,16.33 cm (6.43 inch),2400 x 1080 Pixels,Android 11,Octa Core,2.05 GHz,128 GB,6 GB,Yes,64MP + 8MP + 2MP,Yes,16MP Front Camera,Yes,"4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,179.5 g,1 Year,4.3,3.9,4.1,4.3,4.1
